segment,delta0,theta0,alpha0,beta0,gamma0,TBR0,delta1,theta1,alpha1,beta1,gamma1,TBR1,delta2,theta2,alpha2,beta2,gamma2,TBR2,delta3,theta3,alpha3,beta3,gamma3,TBR3,Mean_TBR,label,file
22,0.01485417970817094,0.08586905461452071,0.030851053970942698,0.06183107434290519,0.02687732709906332,0.13120011678062005,0.09689562915208187,0.19640745384927152,0.37152036233581837,0.4232184453119071,0.22380261351463498,0.10294357415301153,0.03647096484597607,0.2701342407488195,0.4115556698531269,0.2111668831895862,0.22696588396690526,0.29887152301386244,0.010622631095140765,0.03568039754803404,0.013556845744048498,0.08516581735928402,0.16713554855670626,0.02997396920190292,0.08769362548511277,EC,EC.csv
23,0.014030588814969245,0.026133241637317502,0.11722879575507891,0.05014570948253361,0.13025701784008958,0.048346834869636805,0.21857069254720915,0.11136166120976412,0.3181672596638703,0.48471540332327323,0.6983878439552015,0.045700284316331094,0.09721667413041027,0.06707799307511275,0.41676833272942915,0.37023783934234206,0.5435002340767632,0.047059023650698105,0.008078166391069739,0.008894815413353378,0.04087153829865955,0.06443108706653425,0.4312395642551972,0.009746974303827092,0.016339274401845787,EC,EC.csv
24,0.008440345115029625,0.08862091974097366,0.06135073445688087,0.03804991755194509,0.14399187458687568,0.18429139498911856,0.10870961711618848,0.17643773569739535,0.6863224812144639,0.2847621145368455,0.3326367556477558,0.13491370253995805,0.0340951256546054,0.2777942522237036,0.7329393827317732,0.18979224555710753,0.4360293982409443,0.3339534100357169,0.003141593208894051,0.03767298971643987,0.03835003348275653,0.0625102228666549,0.5604345876668737,0.042068801522897645,0.11740485949041905,EC,EC.csv
25,0.01217255200432209,0.047059576339142165,0.09123609987370007,0.056737852679066586,0.09709062189437916,0.07754720151987937,0.055829607002225334,0.22280416500344916,0.36091791535985357,0.2442626482100562,0.3091426338723709,0.19443706450341142,0.015004014219251021,0.12869241273785254,0.5415512556890505,0.22261551137204766,0.3271977396349888,0.13784289642370692,0.00155057770995553,0.008767355130222785,0.043525155306668374,0.08414189895286124,0.3659150203337906,0.007280002138612163,0.049232864663343354,EC,EC.csv
26,0.003987550132411069,0.03526554985271598,0.07215805620935299,0.02966137302927919,0.08962480362998788,0.08766583745739803,0.1304779716538582,0.11205804777134587,0.2105944896161116,0.21811091055353185,0.47090728359896705,0.10882701485759316,0.03875682041963883,0.14745512828054622,0.3877574493370637,0.21769113101844495,0.4746169226133769,0.16042948582894098,0.006200015747489811,0.017349611782747566,0.04927105210726305,0.06227001763479456,0.3654565769060421,0.01952373314683846,0.05401865041212202,EC,EC.csv
27,0.0012048646252968416,0.022321049000274294,0.1524297226090619,0.034045571056027665,0.07335758131193358,0.053493021367342714,0.06254699196606404,0.005288008392261817,0.10533598774870816,0.20001414363340406,0.23484827698818617,0.010800393735297932,0.013840719741719569,0.08411707030403737,0.15559091826785768,0.17032792567174174,0.2819795744141322,0.11231810919402309,0.0007594829047633887,0.005133953170552836,0.06707162840230359,0.061369070366881176,0.28504604618864543,0.005978575792503991,0.0175967072772832,EC,EC.csv
28,0.0035018782110704362,0.014476748984104056,0.08700683566788775,0.05614850680442178,0.13150409064293106,0.02600833085346705,0.08689456525170881,0.13205373066370393,0.16722445240238257,0.23204432253214977,0.3675537005083841,0.12103013661794329,0.016546538046937974,0.13013891264487465,0.3545532486716221,0.13642146401365512,0.4966386256174568,0.2021249812208255,0.003941990977111461,0.006508690941672774,0.04389151904877063,0.10172947654649461,0.43341906575723427,0.004270205007209557,0.034094818544882846,EC,EC.csv
29,0.014526118729382368,0.01583205917369944,0.03372707296344715,0.0477078755689717,0.09254955325399188,0.03175027188932121,0.024168564849585208,0.2039084220884535,0.21057566895855737,0.39537662980889166,0.25776295125493603,0.11487042380170126,0.004393134782420668,0.14887942570931156,0.26175423087826943,0.27962430855533393,0.16653049364800848,0.1318307595563159,0.008502944946241273,0.008250499950556486,0.016946768118689236,0.07099553891903115,0.35933552494366294,0.00819214746757083,0.02973084859938519,EC,EC.csv
30,0.003199209871809599,0.11670850511088521,0.07281387546896095,0.03300900320875222,0.0655661396652333,0.2608350461017757,0.024256918204296565,0.2602906424228424,0.27885969132360094,0.2620717080460012,0.10161562295155101,0.21435179155700684,0.00755919362092412,0.28539144397458277,0.2439077258308498,0.24406616107701845,0.16194877824858317,0.280994687141111,0.0011394806475618347,0.04396405284205225,0.030433773651987336,0.059391055121165076,0.2950937173669236,0.051353885383519954,0.14532318080269674,EC,EC.csv
31,0.010059691794889155,0.06948090659677404,0.0853144390449529,0.0493419216313835,0.0004886269710657754,0.12414867119788954,0.01234620362694645,0.06526983592559951,0.19763639760019022,0.3192641510564824,0.5091896744590471,0.042275145888298324,0.0015208431449272887,0.11107815087429618,0.19353605219431097,0.3186698399883636,0.46571699174023334,0.08830428163497597,0.001354135768923582,0.012641458818516912,0.04181891735509289,0.10635412843987697,0.0679838920574103,0.008285413759581592,0.03584528909477443,EC,EC.csv
